RPU,QS,version,Input,Date,RBS
0.141619655,Rhl,v0.82,-,1/19/2022,2
0.117574524,Rhl,v0.82,+,1/19/2022,2
0.16011591,Rhl,v0.84,-,1/19/2022,2
0.133604612,Rhl,v0.84,+,1/19/2022,2
0.142847421,Rhl,v0.82,-,2/2/2022,2
0.143527971,Rhl,v0.82,+,2/2/2022,2
0.139444671,Rhl,v0.84,-,2/2/2022,2
0.14965292,Rhl,v0.84,+,2/2/2022,2
0.134018737,Rhl,v0.82,-,2/3/2022,2
0.13706047,Rhl,v0.82,+,2/3/2022,2
0.135843777,Rhl,v0.84,-,2/3/2022,2
0.120635114,Rhl,v0.84,+,2/3/2022,2
0.009920376,Rhl,v0.80,-,12/28/2021,1
0.015794283,Rhl,v0.80,+,12/28/2021,1
0.175695079,Rhl,v0.81,-,12/28/2021,1
0.21093852,Rhl,v0.81,+,12/28/2021,1
0.157420702,Rhl,v0.82,-,12/28/2021,1
0.171779141,Rhl,v0.82,+,12/28/2021,1
0.162641953,Rhl,v0.84,-,12/28/2021,1
0.161989296,Rhl,v0.84,+,12/28/2021,1
0.015356958,Rhl,v0.80,-,12/30/2021,1
0.014747555,Rhl,v0.80,+,12/30/2021,1
0.153082056,Rhl,v0.81,-,12/30/2021,1
0.181114598,Rhl,v0.81,+,12/30/2021,1
0.132971754,Rhl,v0.82,-,12/30/2021,1
0.151253847,Rhl,v0.82,+,12/30/2021,1
0.136628173,Rhl,v0.84,-,12/30/2021,1
0.132362351,Rhl,v0.84,+,12/30/2021,1
0.143818796,Rhl,v0.82,-,5/6/2022,3
1.536936989,Rhl,v0.82,+,5/6/2022,3
0.164042412,Rhl,v0.84,-,5/6/2022,3
0.2720943,Rhl,v0.84,+,5/6/2022,3
0.147999234,Rhl,v0.82,-,5/7/2022,3
1.653519689,Rhl,v0.82,+,5/7/2022,3
0.155019465,Rhl,v0.84,-,5/7/2022,3
0.293509477,Rhl,v0.84,+,5/7/2022,3
0.015082988,Rhl,v0.80,-,5/28/2022,3
0.386162358,Rhl,v0.80,+,5/28/2022,3
0.176010266,Rhl,v0.81,-,5/28/2022,3
1.97019164,Rhl,v0.81,+,5/28/2022,3
0.017597,Rhl,v0.80,-,11/6/2022,3
0.32915044,Rhl,v0.80,+,11/6/2022,3
0.140487523,Rhl,v0.81,-,11/6/2022,3
1.564979086,Rhl,v0.81,+,11/6/2022,3
0.017150604,Rhl,v0.80,-,11/10/2022,3
0.35574892,Rhl,v0.80,+,11/10/2022,3
0.017150604,Rhl,v0.80,-,11/10/2022,1
0.02408651,Rhl,v0.80,+,11/10/2022,1
0.144519058,Rhl,v0.81,-,11/10/2022,3
1.701945206,Rhl,v0.81,+,11/10/2022,3
0.138844226,Rhl,v0.81,-,11/10/2022,1
0.167848923,Rhl,v0.81,+,11/10/2022,1
0.120558656,Rhl,v0.82,-,11/10/2022,3
1.439011318,Rhl,v0.82,+,11/10/2022,3
0.117405971,Rhl,v0.82,-,11/10/2022,1
0.147671742,Rhl,v0.82,+,11/10/2022,1
0.135061004,Rhl,v0.84,-,11/10/2022,3
0.258646237,Rhl,v0.84,+,11/10/2022,3
0.125602951,Rhl,v0.84,-,11/10/2022,1
0.136952615,Rhl,v0.84,+,11/10/2022,1
0.101060295,Rhl,v1.82,-,5/6/2022,3
2.490913819,Rhl,v1.82,+,5/6/2022,3
0.008840609,Rhl,v1.84,-,5/6/2022,3
0.064657788,Rhl,v1.84,+,5/6/2022,3
0.10396324,Rhl,v1.82,-,5/7/2022,3
2.734635267,Rhl,v1.82,+,5/7/2022,3
0.006382028,Rhl,v1.84,-,5/7/2022,3
0.07013849,Rhl,v1.84,+,5/7/2022,3
0.001072849,Rhl,v1.80,-,5/28/2022,3
0.002966111,Rhl,v1.80,+,5/28/2022,3
0.001846243,Rhl,v1.80,-,11/6/2022,3
0.006057984,Rhl,v1.80,+,11/6/2022,3
0.003846275,Rhl,v1.80,-,11/10/2022,3
0.001,Rhl,v1.80,+,11/10/2022,3
0.088401274,Rhl,v1.82,-,11/10/2022,3
2.292127747,Rhl,v1.82,+,11/10/2022,3
0.00290047,Rhl,v1.84,-,11/10/2022,3
0.075790536,Rhl,v1.84,+,11/10/2022,3
0.001903938,Rhl,v0,-,11/6/2022,1
0.001,Rhl,v0,+,11/6/2022,1
0.001134966,Rhl,v0,-,11/10/2022,1
0.001,Rhl,v0,+,11/10/2022,1
0.003912957,Rhl,v0,-,2/16/2023,1
0.001,Rhl,v0,+,2/16/2023,1
