Promoter,Inducer_conc,Strain,RPU_avg,RPU_sd,num_replicates
Pqac,0.01,,4.089666836,0.682109037,3
Pqac,0.0625,,3.632102707,0.74439674,3
Pqac,0.09375,,3.638936097,0.717931486,3
Pqac,0.125,,2.775719347,1.131856463,3
Pqac,0.1875,,2.253254507,0.351844131,3
Pqac,0.25,,0.860692432,0.828501512,3
Pqac,0.375,,0.259760748,0.022405519,3
Pqac,0.5,,0.09847209,0.054492905,3
Pqac,0.75,,0.098910734,0.067384105,3
Pqac,1,,0.117587477,0.062874246,3
Pqac,1.5,,0.115370237,0.051678766,3
Pqac,2,,0.096619347,0.065199635,3
