Strain,Inducer,Replicate,Time,0,0.0015625,0.00625,0.025,0.1
KT2440,C6 HSL,1,0,0.08,0.04,0.04,0.02,0.02
KT2440,C6 HSL,1,1,0.12,0.04,0.04,0.04,0.06
KT2440,C6 HSL,1,2,0.26,0.28,0.16,0.16,0.24
KT2440,C6 HSL,1,3,0.76,0.8,0.8,0.76,0.92
KT2440,C6 HSL,1,4,1.36,1.04,1.04,1.04,1.2
KT2440,C6 HSL,1,5,1.92,1.76,1.44,1.36,1.52
KT2440,C6 HSL,2,0,0.18,0,0,0,0.04
KT2440,C6 HSL,2,1,1.8,0.06,0.04,0.06,0.06
KT2440,C6 HSL,2,2,0.22,0.16,0.14,0.18,0.18
KT2440,C6 HSL,2,3,0,0.62,0.58,0.56,0.74
KT2440,C6 HSL,2,5,1.92,1.68,1.6,1.6,2.16
KT2440,C6 HSL,3,0,0.14,0.02,0.02,0.02,0
KT2440,C6 HSL,3,1,0.26,0.04,0.02,0.02,0.02
KT2440,C6 HSL,3,2,0.28,0.06,0.08,0.06,0.06
KT2440,C6 HSL,3,3,0.68,0.18,0.2,0.2,0.24
KT2440,C6 HSL,3,4,1.5,1.02,1.24,0.92,0.82
KT2440,C6 HSL,3,5,3.44,3.44,3.28,2.72,3.2
pJB1000,C6 HSL,1,0,0.1,0.04,0.04,0.04,0.04
pJB1000,C6 HSL,1,1,0.14,0.1,0.08,0.06,0.04
pJB1000,C6 HSL,1,2,0.42,0.34,0.3,0.26,0.26
pJB1000,C6 HSL,1,3,1.12,1,1.24,0.76,0.92
pJB1000,C6 HSL,1,4,1.36,1.04,0.88,1.12,1.28
pJB1000,C6 HSL,1,5,2.08,1.6,1.68,1.52,1.84
pJB1000,C6 HSL,2,0,0.08,0.04,0.04,0.04,0.04
pJB1000,C6 HSL,2,1,0.028,0.18,0.18,0.14,0.14
pJB1000,C6 HSL,2,2,0.34,0.28,0.36,0.28,0.24
pJB1000,C6 HSL,2,3,0,0.66,0.48,0.56,0.36
pJB1000,C6 HSL,2,5,1.68,1.36,1.6,2,2
pJB1000,C6 HSL,3,0,0.16,0.04,0.02,0.02,0.02
pJB1000,C6 HSL,3,1,0.2,0.02,0.02,0.02,0.02
pJB1000,C6 HSL,3,2,0.18,0.06,0.04,0.04,0.04
pJB1000,C6 HSL,3,3,0.32,0.12,0.08,0.08,0.08
pJB1000,C6 HSL,3,4,0.52,0.38,0.2,0.18,0.12
pJB1000,C6 HSL,3,5,2.32,1.76,1.6,1.44,0.88
