Strain,Inducer_conc,system_combo,p.adj
MG1655,2,Lb-Fn,0.9026346984745935
MG1655,2,Sp-Fn,0.036462130504361534
MG1655,2,Sp-Lb,0.02188394213001188
MG1655,4,Lb-Fn,0.008999454867310352
MG1655,4,Sp-Fn,0.4618814246422669
MG1655,4,Sp-Lb,0.002679181174983225
CFT073,2,Lb-Fn,0.0027058957766340486
CFT073,2,Sp-Fn,0.974540322083289
CFT073,2,Sp-Lb,0.002239707725564699
CFT073,4,Lb-Fn,3.0324941538184547e-4
CFT073,4,Sp-Fn,0.9503440275381126
CFT073,4,Sp-Lb,3.6969863550595505e-4
UMN026,0,Lb-Fn,0.9970278115339656
UMN026,0,Sp-Fn,0.008675804170865664
UMN026,0,Sp-Lb,0.008045392652314964
UMN026,0.25,Lb-Fn,0.7935682860785935
UMN026,0.25,Sp-Fn,0.02336097403543136
UMN026,0.25,Sp-Lb,0.011231064140693747
UMN026,2,Lb-Fn,0.2217004211615884
UMN026,2,Sp-Fn,2.6057481841812447e-4
UMN026,2,Sp-Lb,8.823983597394669e-5
UMN026,4,Lb-Fn,0.9342406876418549
UMN026,4,Sp-Fn,1.4479442746795357e-5
UMN026,4,Sp-Lb,1.2526913966137698e-5
EcN,2,Lb-Fn,0.0186204436530093
EcN,2,Sp-Fn,0.08681408143385672
EcN,2,Sp-Lb,0.45638185691513644
EcN,4,Lb-Fn,0.025885938679778286
EcN,4,Sp-Fn,0.0635004396040798
EcN,4,Sp-Lb,0.749403557687667
